"game_id","title","platform_key","platform_name","platform_short","platform_company","platform_generation","release_date","release_year","decade","developer","publisher","genre_detailed","genre_category","players_raw","players_min","players_max","rating_score_pct","rating_stars_5","description","rom_filename","rom_extension","rom_size_mb","has_cover_image","has_mix_image","has_screenshot","has_titlescreen","has_3d_box","has_backcover","has_marquee","has_fanart","cover_image_path","mix_image_path","screenshot_path","titlescreen_path","box3d_path","backcover_path","marquee_path"
"arcade_mad-alien","Mad Alien","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1980-01-01","1980","1980s","Data East","Data East","Shooter","Shooter","1-2","1","2","50","2.5","Mad Alien is kind of a combination of a shooter and a driving game. You drive a car equipped with a gun on a road. The landscape around you shows different settings (cities, country side, tunnels) and scrolls by from the top to the bottom of the screen. Your enemies (mad aliens) drive in front of you in a ""Galaxian""-like formation and you have to shoot them. Watch out for mad aliens leaving the group and turning back to attack your car.","madalien.zip","ZIP","0.01","true","true","true","true","true","false","true","false","covers/arcade/madalien.png","miximages/arcade/madalien.png","screenshots/arcade/madalien.png","titlescreens/arcade/madalien.png","3dboxes/arcade/madalien.png","","marquees/arcade/madalien.png"
"arcade_mad-ball-v2-0","Mad Ball V2.0","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1998-01-01","1998","1990s","Unknown","Yun Sung","Action","Action","1-2","1","2","50","2.5","Mad Ball is a breakout game featuring photo-image backgrounds of bikini idols.  The game plays very much along the lines of ""Arkanoid"" with power-ups for both the ball and the paddle.  Each stage features a different girl for the background.

Blocks and enemies can be destroyed by both the ball and by shooting them with the gun on the paddle. Breaking blocks reveal various power-ups. Power-ups for your paddle fall to the bottom of the screen and can be caught by your paddle.  Power-ups for your ball float in the same location for a limited time and are activated when hit by the ball.

When enemies and blocks are destroyed coins and jewels fall to the bottom of the screen to be caught by the paddle for points. At the end of each stage these points may be used to buy power-ups for use in the next stage.

Every time the ball (or last ball in the case of multi-ball) falls past the paddle the player loses a life.  The game is over when the player loses all his lives.","madball.zip","ZIP","1.6","true","true","true","true","true","true","true","false","covers/arcade/madball.png","miximages/arcade/madball.png","screenshots/arcade/madball.png","titlescreens/arcade/madball.png","3dboxes/arcade/madball.png","backcovers/arcade/madball.png","marquees/arcade/madball.png"
"arcade_mad-crasher","Mad Crasher","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1984-01-01","1984","1980s","SNK","SNK","Shooter","Shooter","1-2","1","2","50","2.5","A diagonal driving/shooting 'em up game.

This was SNK's first 3-D Isometric game.","madcrash.zip","ZIP","0.04","true","true","true","true","true","false","true","false","covers/arcade/madcrash.png","miximages/arcade/madcrash.png","screenshots/arcade/madcrash.png","titlescreens/arcade/madcrash.png","3dboxes/arcade/madcrash.png","","marquees/arcade/madcrash.png"
"arcade_mad-donna","Mad Donna","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1995-01-01","1995","1990s","Unknown","Tuning","Action / Labyrinth","Action","1-2","1","2","50","2.5","In typical Tuning fashion, this is a rip-off of a ""Pac-Man"" type game where you win hi-res pics of naked babes at the end of each round. Finishing the first rack you get the picture of the babe's face, finishing the second rack will give you a full-body shot which scrolls so you can see the whole thing.","maddonna.zip","ZIP","2.22","true","true","true","true","true","true","true","false","covers/arcade/maddonna.png","miximages/arcade/maddonna.png","screenshots/arcade/maddonna.png","titlescreens/arcade/maddonna.png","3dboxes/arcade/maddonna.png","backcovers/arcade/maddonna.png","marquees/arcade/maddonna.png"
"arcade_led-storm","Led Storm","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1988-01-01","1988","1980s","Capcom","Capcom","Racing, Driving","Racing","1-2","1","2","70","3.5","By 2011, the only way to travel at top speed is on skyways built high above the ground. These become popular with boy-racers and general speed freaks pretty soon, and that's why you're aiming to hurtle across them in this arcade conversion. 

The road scrolls vertically, with some moderately sharp bends in a manner similar to Spy Hunter You have a jump device to clear the many jumps, or to land onto and flatten the other maniacs who line the road. You must choose which path to follow at OutRun-style forks in the road. 

The roads contain bonus tags including bonus points, a battering ram to make contact with other cars more effective, and energy boosts to replenish damage. If you leave the road you must replace your car onto it using a directable winch which appears at the appropriate point.","madgear.zip","ZIP","0.73","true","true","true","true","true","true","true","true","covers/arcade/madgear.png","miximages/arcade/madgear.png","screenshots/arcade/madgear.png","titlescreens/arcade/madgear.png","3dboxes/arcade/madgear.png","backcovers/arcade/madgear.png","marquees/arcade/madgear.png"
"arcade_mad-motor","Mad Motor","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1989-01-01","1989","1980s","Mitchell","Mitchell","Beat'em Up","Beat 'em up","1-2","1","2","50","2.5","Mad motor is a 2D side-scrolling biker-themed beat 'em-up game that puts players in the shoes of a motor driver on a highway. You have to beat-up enemies driving different types of motors and cars as well enemies on gliders. Bosses include a apelike boss hanging from an helicopter and a guy standing on top of a car in full Japanese armor. You can transform in to a more powerful hulky long haired guy on a tricycle motor. The background scenery includes, cities, deserts and forests. You can play solo or with a friend.","madmotor.zip","ZIP","1.16","true","true","true","true","true","false","true","false","covers/arcade/madmotor.png","miximages/arcade/madmotor.png","screenshots/arcade/madmotor.png","titlescreens/arcade/madmotor.png","3dboxes/arcade/madmotor.png","","marquees/arcade/madmotor.png"
"arcade_mad-planets","Mad Planets","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1983-01-01","1983","1980s","Gottlieb","D. Gottlieb &amp; Co.","Shooter","Shooter","1-2","1","2","90","4.5","In Mad Planets, the player takes control of a spaceship and must attempt to destroy a series of Earth-like planets which emerge from the center of the screen and rapidly move towards the player's ship - increasing in size as they do so. Destroying all of the planets in a round before the they reach their full scale will see the player awarded with bonus points. Fully-grown planets are orbited by a number of small moons, which, if destroyed, cause the planet to go 'mad' - turning red and making a beeline for the player's ship. The game also includes bonus rounds in which stranded astronauts can be rescued for additional points.","mplanets.zip","ZIP","0.04","true","true","true","true","true","true","true","false","covers/arcade/mplanets.png","miximages/arcade/mplanets.png","screenshots/arcade/mplanets.png","titlescreens/arcade/mplanets.png","3dboxes/arcade/mplanets.png","backcovers/arcade/mplanets.png","marquees/arcade/mplanets.png"
"arcade_mad-shark","Mad Shark","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1993-01-01","1993","1990s","Allumer","Allumer","Shoot'em Up / Vertical","Shooter","1-2","1","2","70","3.5","A vertically scrolling shooter.","madshark.zip","ZIP","1.83","true","true","true","true","true","false","true","false","covers/arcade/madshark.png","miximages/arcade/madshark.png","screenshots/arcade/madshark.png","titlescreens/arcade/madshark.png","3dboxes/arcade/madshark.png","","marquees/arcade/madshark.png"
"arcade_mag-max","Mag Max","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","1985-01-01","1985","1980s","Unknown","Nichibutsu","Shooter","Shooter","1-2","1","2","70","3.5","Mag Max is a horizontally scrolling shoot-em-up in which a single player takes control of the 'Maxcraft' hover-ship and must battle their way through an packed enemy installation to find and destroy the invading alien 'Dragonia' fleet.

The action takes place both above and below ground and transporters appear throughout the game that allows the Maxcraft warp between the two as players search for the three-headed 'Dragonship'.

At various points the player will come across robot components - either a torso, a pair of legs or a plasma gun - and collecting these will eventually see the player's hover-ship become a towering robot, vastly increasing its firepower in the process.

If the Maxcraft takes an enemy hit when additional components are attached, a component is lost. If the ship is hit when only in basic form, however, a life is lost.","magmax.zip","ZIP","0.09","true","true","true","true","true","true","true","true","covers/arcade/magmax.png","miximages/arcade/magmax.png","screenshots/arcade/magmax.png","titlescreens/arcade/magmax.png","3dboxes/arcade/magmax.png","backcovers/arcade/magmax.png","marquees/arcade/magmax.png"
"arcade_magic-bubble","Magic Bubble","arcade","Arcade","Arcade","Ýmsir (Namco, Sega, Capcom, Konami, Taito, SNK, Atari, o.fl.)","Arcade (Öll tímabil)","","","","Unknown","Yun Sung","Puzzle","Puzzle","1-2","1","2","70","3.5","Group 3 or more bubbles of the same colour together to make them disappear. Clear the screen before they reach the bottom or before your opponent clears their screen. Magic Bubble is a very obvious copy of Taito's sublime ""Puzzle Bobble"" series.","magicbuba.zip","ZIP","3.24","true","true","true","true","true","false","true","false","covers/arcade/magicbuba.png","miximages/arcade/magicbuba.png","screenshots/arcade/magicbuba.png","titlescreens/arcade/magicbuba.png","3dboxes/arcade/magicbuba.png","","marquees/arcade/magicbuba.png"
